station,mile,cutoff_hours,elevation_ft
Start,0.0,,6230.643244
Escarpment,3.5,,8622.15522602372
Lyon Ridge,10.3,5.5,7005.905736000001
Red Star Ridge,15.8,5.5,7138.1235879999995
Duncan Canyon,24.4,7.5,5742.4542519999995
Robinson Flat,30.3,9.17,6714.895228
Miller's Defeat,34.4,10.25,6087.270536
Dusty Corners,38.0,11.08,5134.842683999999
Last Chance,43.3,12.42,4528.543452
Devil's Thumb,47.8,14.17,4370.07888
El Dorado Creek,52.9,15.67,1788.0578
Michigan Bluff,55.7,16.92,3472.441056
Foresthill,62.0,18.75,3272.309816
Dardanelles (Cal-1),65.7,21.67,1885.8268319999997
Peachstone (Cal-2),70.7,21.67,1721.128664
Ford's Bar (Cal-3),73.0,24.0,971.784808
Rucky Chucky,78.0,24.0,735.5643279999999
Green Gate,79.8,24.83,1426.509232
Auburn Lake Trails,85.2,26.25,1451.443616
Quarry Road,90.7,27.67,766.732308
Pointed Rocks,94.3,28.67,1569.88194
No Hands Bridge,96.8,,556.0046716685297
Robie Point,98.9,30.0,1181.430484
Finish,100.2,30.0,1294.9475479999999
