runner_id,year,station,mile,elapsed_min
2017-46,2017,Lyon Ridge,10.3,112.18333333333334
2017-46,2017,Red Star Ridge,15.8,166.0
2017-46,2017,Duncan Canyon,24.4,237.0
2017-46,2017,Robinson Flat,30.3,297.0
2017-46,2017,Miller's Defeat,34.4,328.0
2017-46,2017,Dusty Corners,38.0,355.0
2017-46,2017,Last Chance,43.3,392.0
2017-46,2017,Devil's Thumb,47.8,448.0
2017-46,2017,El Dorado Creek,52.9,482.0
2017-46,2017,Michigan Bluff,55.7,534.0
2017-46,2017,Foresthill,62.0,596.9666666666667
2017-46,2017,Peachstone (Cal-2),70.7,681.0
2017-46,2017,Rucky Chucky,78.0,746.0
2017-46,2017,Green Gate,79.8,773.0
2017-46,2017,Auburn Lake Trails,85.2,828.0
2017-46,2017,Quarry Road,90.7,879.0
2017-46,2017,Pointed Rocks,94.3,920.0
2017-46,2017,Robie Point,98.9,966.0
2017-46,2017,Finish,100.2,979.6166666666667
2017-27,2017,Lyon Ridge,10.3,113.68333333333334
2017-27,2017,Red Star Ridge,15.8,169.0
2017-27,2017,Duncan Canyon,24.4,247.0
2017-27,2017,Robinson Flat,30.3,310.0
2017-27,2017,Miller's Defeat,34.4,343.0
2017-27,2017,Dusty Corners,38.0,372.0
2017-27,2017,Last Chance,43.3,411.0
2017-27,2017,Devil's Thumb,47.8,467.0
2017-27,2017,El Dorado Creek,52.9,512.0
2017-27,2017,Michigan Bluff,55.7,549.0
2017-27,2017,Foresthill,62.0,606.0
2017-27,2017,Peachstone (Cal-2),70.7,691.0
2017-27,2017,Rucky Chucky,78.0,765.0
2017-27,2017,Green Gate,79.8,789.0
2017-27,2017,Auburn Lake Trails,85.2,850.0
2017-27,2017,Quarry Road,90.7,904.0
2017-27,2017,Pointed Rocks,94.3,950.0
2017-27,2017,Robie Point,98.9,996.0
2017-27,2017,Finish,100.2,1008.3833333333333
2017-202,2017,Lyon Ridge,10.3,114.61666666666666
2017-202,2017,Red Star Ridge,15.8,174.0
2017-202,2017,Duncan Canyon,24.4,249.0
2017-202,2017,Robinson Flat,30.3,314.0
2017-202,2017,Miller's Defeat,34.4,345.0
2017-202,2017,Dusty Corners,38.0,376.0
2017-202,2017,Last Chance,43.3,415.0
2017-202,2017,Devil's Thumb,47.8,473.0
2017-202,2017,El Dorado Creek,52.9,516.0
2017-202,2017,Michigan Bluff,55.7,560.0
2017-202,2017,Foresthill,62.0,621.8
2017-202,2017,Peachstone (Cal-2),70.7,705.0
2017-202,2017,Rucky Chucky,78.0,775.0
2017-202,2017,Green Gate,79.8,798.0
2017-202,2017,Auburn Lake Trails,85.2,853.0
2017-202,2017,Quarry Road,90.7,908.0
2017-202,2017,Pointed Rocks,94.3,952.0
2017-202,2017,Robie Point,98.9,999.0
2017-202,2017,Finish,100.2,1012.95
2017-M3,2017,Lyon Ridge,10.3,114.01666666666667
