1987	WESTERN STATES ENDURANCE 	RUN																																		
Finish	Name                     	No.	Sex	Age	Red	Star	Robin-	son	Flat		Last	Chance			Devils		Mich-	igan	Bluff		Forest-	hill			River	Cross-	ing		Auburn	Lakes	Trails		Highway		Finish  	Total
Place	                         				Ridge	(Pl)	In	(Pl)	Out	(Pl)	In	(Pl)	Out	(Pl)	Thumb	(Pl)	In	(Pl)	Out	(Pl)	In	(Pl)	Out	(Pl)	In	(Pl)	Out	(Pl)	In	(Pl)	Out	(Pl)	49	(Pl)	Time    	Time
1	Tanzer, Herb             	4		35	7:36	6	9:42	5	9:44	5	11:36	4	11:38	5	12:37	3	14:03	2	14:09	2	15:13	2	15:14	3	18:05	2	18:09	2	19:45	2	19:48	2	21:07	1	22:41:06	17:41:06
2	Warshawer, Steve         	29		29	7:31	2	9:41	2	9:42	2	11:36	3	11:38	4	12:37	4	14:03	3	14:10	3	15:13	3	15:14	2	18:03	1	18:03	1	19:40	1	19:45	1	21:14	2	23:01:19	18:01:19
3	Williams, Dan            	6		38	7:30	1	9:32	1	9:32	1	11:23	1	11:25	1	12:29	1	14:00	1	14:01	1	15:08	1	15:12	1	18:27	3	18:45	3	20:37	3	20:44	3	22:26	3	23:58:40	18:58:40
4	Finkbeiner, Bill         	151		31	7:46	27	10:07	25	10:11	26	12:09	19	12:10	18	13:18	17	14:55	16	15:01	15	16:09	11	16:09	8	19:15	6	19:15	6	21:03	4	21:04	4	22:49	4	00:17:23	19:17:23
5	Spady, Richard           	321		35	7:51	36	10:05	21	10:06	20	12:02	13	12:04	13	13:09	14	14:44	11	14:56	12	16:07	10			19:27	8	19:32	8	21:17	8	21:25	8	23:03	6	00:29:13	19:29:13
6	Moore, Craig             	9		34	7:50	35	10:06	24	10:09	24	12:09	18	12:13	20	13:27	25	14:59	19	15:09	20	16:21	19	16:27	18	19:12	4	19:12	4	21:14	7	21:15	7	23:20	8	00:30:09	19:30:09
7	Latimer, Doug            	8		49	7:59	67	10:28	53	10:28	50	12:29	35	12:29	32	13:31	28	15:07	24	15:11	21	16:22	20	16:25	17	19:20	7	19:20	7	21:04	5	21:09	5	23:02	5	00:39:02	19:39:02
8	Roth, David              	88		34	7:33	5	9:44	6	9:45	6	11:43	6	11:44	6	12:53	6	14:28	5	14:39	6	15:51	5	15:52	5	19:13	5	19:14	5	21:10	6	21:15	6	23:07	7	00:52:34	19:52:34
9	Stevenson, Dave          	10		34	7:53	44	10:21	44	10:23	43	12:29	34	12:31	34	13:42	34	15:26	32	15:32	30	16:53	33	16:58	31	20:06	20	20:08	20	21:46	13	21:49	13	23:36	12	01:05:47	20:05:47
10	Pomroy, Jim              	284		40	7:42	15	9:54	10	9:55	10	11:56	11	11:58	10	13:08	11	14:47	12	14:55	11	16:11	13	16:13	11	19:35	9	19:36	9	21:30	9	21:34	9	23:28	9	01:08:01	20:08:01
11	Jones, Martin            	209		44	7:45	24	9:57	12	9:57	11	11:56	10	11:58	9	13:09	12	14:49	13	15:03	17	16:17	17	16:22	15	19:36	10	19:40	10	21:32	10	21:41	10	23:31	10	01:14:14	20:14:14
12	Hamalainen, Jussi        	172		41	7:43	17	9:57	11	10:01	15	11:50	9	12:04	12	13:09	13	14:42	10	14:48	10	16:09	12	16:13	10	19:53	13	19:57	14	21:36	11	21:42	11	23:35	11	01:15:46	20:15:46
13	Scott, David             	83		29	7:54	47	10:17	37	10:18	37	12:32	40	12:33	38	13:49	38	15:33	38	15:40	37	16:49	30	16:50	28	20:06	21	20:08	19	21:55	16	21:59	14	23:50	13	01:34:11	20:34:11
14	Pellon, Jim              	2		36	7:37	8	9:46	7	9:46	7	11:37	5	11:38	3	12:46	5	14:31	6	14:37	5	15:57	7	16:06	7	19:53	14	19:56	13	21:39	12	21:46	12	0:06	15	01:42:14	20:42:14
15	Leighton, Gard           	52		52	7:54	54	10:20	40	10:21	39	12:26	32	12:26	30	13:38	31	15:17	27	15:21	24	16:42	26	16:44	25	19:58	15	20:00	15	21:53	15	22:03	15	0:00	14	01:52:29	20:52:29
16	Twietmeyer, Tim          	7		28	7:55	55	10:22	45	10:23	44	12:27	33	12:28	31	13:39	33	15:19	29	15:26	28	16:42	27	16:42	24	20:05	19	20:10	21	22:04	18	22:08	16	0:11	16	01:59:38	20:59:38
17	Bunnell, Bob             	91		36	7:45	23	10:02	17	10:03	17	12:03	16	12:04	15	13:09	15	14:52	14	15:00	14	16:17	16	16:20	14	19:43	11	19:50	12	22:21	24	22:29	23	0:38	21	02:12:54	21:12:54
18	Hammes, Mary             	174	F	27	8:04	84	10:40	80	10:41	78	12:55	65	12:55	55	14:06	49	15:50	43	15:50	39	17:05	38	17:06	32	20:17	26	20:17	24	22:18	22	22:19	19	0:31	20	02:23:37	21:23:37
19	Sinkoski, Michael        	311		34	7:45	22	9:57	13	9:57	12	12:11	21	12:13	21	13:21	18	15:06	22	15:15	22	16:33	23	16:42	23	20:04	18	20:05	18	22:07	19	22:18	18	0:29	18	02:33:06	21:33:06
20	Demorest, John           	99		36	7:58	64	10:32	62	10:33	61	12:52	60	12:53	52	14:09	53	15:58	51	16:09	51	17:19	43	17:24	41	20:41	33	20:43	32	22:48	29	22:55	27	0:58	27	02:36:45	21:36:45
21	Mills, Scott             	360		36	7:57	60	10:25	47	10:26	47	12:37	43	12:43	43	13:56	42	15:44	40	15:50	40	17:05	36	17:09	34	20:32	31	20:32	29	22:41	27	22:46	26	0:53	24	02:41:48	21:41:48
22	Barger, Dan              	377		21	7:53	41	10:21	42	10:23	41	12:33	41	12:35	39	13:48	37	15:29	36	15:38	35	16:48	29	16:50	27	20:23	28	20:27	28	22:26	26	22:33	24	0:42	22	02:43:59	21:43:59
23	Vincent, Dick            	101		35	8:00	72	10:34	68	10:35	64	12:52	59			14:05	47	15:46	41	15:54	41	17:11	42	17:23	39	20:52	35	20:55	33	22:58	31	23:06	30	1:06	29	02:45:17	21:45:17
24	Crom, Sean               	127		31	7:54	51	10:12	30	10:14	31	12:06	17	12:08	17	13:25	20	15:13	26	15:22	25	16:35	25	16:40	22	19:58	16	20:01	16	21:59	17	22:20	20	0:30	19	02:46:12	21:46:12
25	Pelechaty, Mike          	277		32	7:53	46	10:12	29	10:14	30	12:20	27	12:21	26	13:27	22	15:02	20	15:04	18	16:20	18	16:22	16	20:15	24	20:15	23	22:26	25	22:28	22	0:51	23	02:47:17	21:47:17
26	Johnson, Thomas R.       	204		28	8:11	104	10:50	92	10:52	92	13:14	88	13:18	82	14:35	76	16:16	68	16:25	60	17:36	50	17:36	45	21:15	44	21:21	40	23:27	38	23:38	38	1:22	30	02:53:59	21:53:59
27	Brotherton, Mark         	84		30	7:36	7	9:54	9	9:55	9	12:03	15	12:04	14	13:16	16	14:52	15	14:57	13	16:14	15	16:17	13	20:09	22	20:12	22	22:17	21	22:37	25	0:56	26	02:54:18	21:54:18
28	Summerhays King, Sue     	332	F	33	8:13	114	10:52	98	10:53	97	13:14	83	13:16	79	14:36	78	16:38	78	16:45	76	18:06	68	18:13	65	21:41	50	21:46	51	23:33	40	23:39	39	1:24	32	02:57:02	21:57:02
29	Daniels, Roger           	17		51	7:32	3	9:41	4	9:42	3	11:49	8	11:50	8	12:58	7	14:38	9	14:43	7	16:06	9	16:17	12	20:02	17	20:04	17	22:12	20	22:16	17	0:55	25	03:13:28	22:13:28
30	Dixon, Bobbie            	138	F	40	7:56	57	10:34	66	10:39	72	12:53	62	12:56	57	14:13	55	16:01	55	16:06	48	17:27	47	17:28	42	21:01	36	21:01	35	23:08	32	23:11	31	1:25	33	03:15:37	22:15:37
31	Mauldin, Bruce           	223		39	8:13	112	10:53	103	10:57	105	13:14	86	13:16	80	14:35	77	16:28	74	16:40	72			17:54	56	21:23	45	21:23	41	23:34	42	23:37	37	1:45	37	03:25:49	22:25:49
32	Ianacone, Eric           	196		40	8:20	126	11:06	116			13:36	106	13:41	104	15:12	108	16:54	88	17:10	90	18:23	79	18:30	79	21:53	56	21:53	53	23:58	45	0:03	43	1:50	40	03:31:12	22:31:12
33	Hall, George             	171		36	8:15	124	10:57	108	10:59	107	13:05	75	13:07	72	14:24	67	16:09	61	16:26	63	17:46	57	18:02	62	21:38	49	21:44	49	23:54	44	23:58	42	2:07	44	03:34:25	22:34:25
34	Savage III, Charles W.   	18		39	7:58	63	10:29	57	10:31	56	12:47	49	12:50	48	14:11	54	16:07	60	16:20	56	18:13	72	18:20	70	22:04	61	22:11	60	0:16	57	0:23	54	2:14	49	03:36:45	22:36:45
35	Maddieson, Ian           	235		44	8:13	115	10:44	85	10:45	85	13:02	73	13:04	68	14:23	66	16:06	59	16:18	55	17:40	54	17:41	50	21:06	37	21:18	37	23:33	41	23:40	41	1:46	38	03:38:58	22:38:58
36	Wright, Thomas           	366		43	8:06	89	10:38	76	10:40	75	13:00	70	13:02	64	14:16	58	15:54	47	16:05	46	17:21	45	17:22	38	20:49	34	20:58	34	23:18	34	23:22	33	1:35	34	03:43:22	22:43:22
37	Lujan, Edward            	232		48	7:54	52	10:29	56	10:32	57	12:43	46	12:45	45	14:06	50	16:01	57	16:08	50	17:38	52	17:41	49	21:06	38	21:06	36	23:20	35	23:21	32	1:43	36	03:44:37	22:44:37
38	Hall, Christopher        	66		37	8:06	88	10:37	75	10:40	74	12:59	68	13:03	65	14:18	60	16:04	58	16:20	58	17:36	51	17:39	47	21:32	47	21:36	44	0:07	51	0:10	48	2:07	45	03:45:01	22:45:01
39	DeVelice, Robert L.      	133		33	7:40	12	10:01	16	10:03	16	12:14	22	12:17	22	13:27	24	15:27	34	15:39	36	17:08	40	17:16	37	21:15	43	21:20	38	23:30	39	23:40	40	1:53	42	03:45:17	22:45:17
40	Provost, Richard         	40		40	7:46	25	10:06	22	10:07	21	12:10	20	12:12	19	13:28	26	15:02	21	15:19	23	16:24	22	16:31	19	20:17	25	20:21	27	23:16	33	23:26	36	1:41	35	03:45:47	22:45:47
41	Nolan, Mike              	262		36	8:46	288	11:38	198	11:41	191	13:57	139	14:00	133	15:17	111	17:04	96	17:07	87	18:29	83	18:34	80	22:13	62	22:17	63	0:14	55	0:17	51	2:08	46	03:46:58	22:46:58
42	Brooks, Larry            	82		47	8:32	205	11:22	156	11:24	153	13:48	122	13:49	109	15:04	100	16:54	89	17:02	81	18:18	77	18:20	72	21:56	58	21:57	57	0:02	49	0:05	45	2:06	43	03:49:36	22:49:36
43	von Borstel, Bruce       	375		41	7:48	31	10:10	28	10:13	28	12:22	31	12:25	29	13:38	32	15:12	25	15:25	26	16:34	24	16:38	21	20:12	23	20:20	26	22:52	30	23:00	29	1:06	28	03:52:29	22:52:29
44	Lygre, David             	316		44	8:26	165	11:14	132	11:17	129	13:44	115	13:51	118	15:13	110	16:55	90	17:05	85	18:16	75	18:19	69	21:52	54	21:57	56	23:59	46	0:07	46	2:12	47	04:02:09	23:02:09
45	O'Connell Jr., Thomas    	222		36	8:25	158	11:21	148	11:22	140	13:49	125	13:52	120	15:11	106	16:59	92	17:03	83	18:27	81	18:27	76	21:59	59	22:02	58	0:10	53	0:18	52	2:14	48	04:09:24	23:09:24
46	Zerambo, Ed              	373		35	7:57	61	10:25	48	10:26	48	12:34	42	12:42	42	13:57	43	15:51	44	16:01	45			17:38	46	21:11	41	21:25	42	23:23	37	23:25	35	1:49	39	04:09:50	23:09:50
47	Austrheim-Smith, Bjorg   	190	F	44	8:04	86	10:48	90	10:49	88	13:14	87	13:18	84	14:30	72	16:20	70	16:25	62	17:52	61	17:53	55	21:42	51	21:45	50	0:00	48	0:09	47	2:23	50	04:11:57	23:11:57
48	Campbell, Joseph         	97		41	7:54	53	10:24	46	10:25	46	12:40	44	12:41	41	13:51	39	15:41	39	15:47	38	17:01	35	17:08	33	21:08	39	21:21	39	23:53	43	0:17	50	2:24	51	04:14:51	23:14:51
49	Hernandez, Mike          	184		34	8:01	80	10:40	79	10:41	77	13:05	76	13:07	71	14:21	64	16:14	66	16:27	66	17:40	55	17:50	53	21:34	48	21:38	45	0:14	56	0:18	53	2:27	52	04:21:29	23:21:29
50	Wersinger, Gary L.       	354		29	7:32	4	9:41	3	9:44	4	11:27	2	11:28	2	12:32	2	14:07	4	14:10	4	15:28	4	15:30	4	20:17	27	20:20	25	22:47	28	22:57	28	1:51	41	04:26:26	23:26:26
51	van Willegen, Hans       	374		49	8:29	186	11:18	144	11:20	139	13:43	112	13:47	107	15:06	102	16:59	93	17:17	93	18:35	85	18:39	82	22:42	69	22:50	69	0:47	62	1:02	64	2:54	58	04:33:41	23:33:41
52	Austrheim-Smith, Steve   	55		40	8:11	102	10:53	100	10:54	100	13:23	94	13:25	91	14:46	88	16:51	84	16:56	79	18:18	76	18:20	71	22:02	60	22:13	61	0:26	59	0:37	56	2:51	56	04:35:55	23:35:55
53	Konen, James             	216		52	7:56	58	10:34	67	10:36	65	12:53	63	12:56	58	14:13	56	16:01	56	16:06	49	17:27	48	17:33	44	21:14	42	21:31	43	23:59	47	0:03	44	2:31	53	04:36:51	23:36:51
54	Duket, Tom               	141		44	7:59	65	10:29	55	10:31	55	12:47	50	12:50	49	14:14	57	16:13	65	16:25	61	17:49	59	17:58	60	21:53	55	22:03	59	0:31	60	0:44	59	2:59	59	04:38:08	23:38:08
55	Gates, Richard H.        	161		30	8:15	120	10:54	105	10:56	104	13:14	85	13:16	81	14:33	75	16:30	75	16:41	73	18:03	66	18:06	63	22:14	63	22:15	62	0:37	61	0:38	57	2:49	55	04:38:32	23:38:32
56	Kohlenstein, Frank       	330		32	8:00	69	10:31	59	10:33	58	12:50	55	12:55	53	14:21	63	16:10	63	16:21	59	17:47	58	17:57	59	21:42	52	21:47	52	0:18	58	0:27	55	2:45	54	04:39:13	23:39:13
57	Fowkes, Daniel           	124		25	8:21	129	11:12	124	11:13	119	13:42	109	13:43	105	15:01	97	17:01	95	17:04	84	18:35	87	18:57	89	22:47	71	22:48	68	0:51	65	0:59	62	3:00	60	04:40:15	23:40:15
58	Bernal, Jeff             	74		20	7:54	49	10:21	41	10:22	40	12:57	67	13:02	63	14:18	59	15:49	42	15:58	42	17:05	37	17:13	36	20:30	30	20:32	30	23:22	36	23:23	34	1:23	31	04:40:51	23:40:51
59	Moody, Kimberly          	14	F	32	7:47	29	10:14	34	10:15	34	12:30	37	12:30	33	13:42	35	15:27	35	15:33	31	17:10	41	17:11	35	21:29	46	21:38	46	0:05	50	0:15	49	3:00	61	04:42:32	23:42:32
