year,starters,finishers,sub_24
2025,369,285,92
2024,375,286,109
2023,379,328,110
2022,383,305,101
2021,315,208,57
2020,0,0,0
2019,369,319,130
2018,369,299,123
2017,369,248,76
2016,353,280,102
2015,371,254,96
2014,376,296,129
2013,383,277,95
2012,382,316,148
2011,375,310,125
2010,423,328,123
2009,399,238,72
2008,0,0,0
2007,392,270,100
2006,399,210,53
2005,400,317,105
2004,366,278,89
2003,405,272,96
2002,372,255,90
2001,396,267,91
2000,385,222,65
1999,335,216,72
1998,381,258,62
1997,369,257,106
1996,373,227,75
1995,371,198,36
1994,379,249,86
1993,387,209,56
1992,374,230,70
1991,368,242,100
1990,351,208,77
1989,372,246,97
1988,341,250,118
1987,353,183,70
1986,415,210,95
1985,294,163,98
1984,369,250,158
1983,282,196,108
1982,278,176,92
1981,251,146,82
1980,251,124,63
1979,143,96,67
1978,63,30,15
1977,14,3,1
1976,1,1,0
1975,1,0,0
1974,1,1,1
